,value,supplier_name,publish_date,agency_name
178052,18700.0,MINTER ELLISON,2009-07-15,Department of Infrastructure Transport Regional Development and Local Government
178054,75547.56,Frontier Group Australia Pty Ltd,2009-07-15,Department of Infrastructure Transport Regional Development and Local Government
178055,75000.0,THE TRUSTEE FOR ASKEW AND ASSOCIATE,2009-07-15,Department of Infrastructure Transport Regional Development and Local Government
178057,48000.0,CAREERS UNLIMITED PTY LTD,2009-07-15,Department of Infrastructure Transport Regional Development and Local Government
178058,20000.0,CANBERRA CONSULTING RESOUCES PTY LT,2009-07-15,Department of Infrastructure Transport Regional Development and Local Government
178059,70000.0,CAREERS UNLIMITED PTY LTD,2009-07-15,Department of Infrastructure Transport Regional Development and Local Government
178061,36395.64,United Group Services Pty Ltd,2009-07-15,Department of Infrastructure Transport Regional Development and Local Government
178062,41403.03,United Group Services Pty Ltd,2009-07-15,Department of Infrastructure Transport Regional Development and Local Government
178063,13000.0,CAREERS UNLIMITED PTY LTD,2009-07-15,Department of Infrastructure Transport Regional Development and Local Government
178065,11785.0,AUSTRALIAN PUBLIC SERVICE COMMISSIO,2009-07-15,Department of Infrastructure Transport Regional Development and Local Government
178067,15000.0,ADCORP AUSTRALIA LIMITED,2009-07-15,Department of Infrastructure Transport Regional Development and Local Government
178068,48000.0,SIRVA Pty Ltd,2009-07-15,Department of Infrastructure Transport Regional Development and Local Government
178069,15000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2009-07-15,Department of Infrastructure Transport Regional Development and Local Government
178070,10700.0,Clayton Utz Canberra,2009-07-15,Department of Infrastructure Transport Regional Development and Local Government
181176,30000.0,FINITE RECRUITMENT PTY. LTD.,2009-07-20,Department of Infrastructure Transport Regional Development and Local Government
181178,20000.0,Hudson Global Resources (Aust) P/L,2009-07-20,Department of Infrastructure Transport Regional Development and Local Government
181181,60000.0,Hays Specialist Recruitment (AUST),2009-07-20,Department of Infrastructure Transport Regional Development and Local Government
181182,12100.0,FUJI XEROX AUSTRALIA PTY LTD,2009-07-20,Department of Infrastructure Transport Regional Development and Local Government
181184,16900.0,FUJI XEROX AUSTRALIA PTY LTD,2009-07-20,Department of Infrastructure Transport Regional Development and Local Government
181186,35000.0,Hays Specialist Recruitment (AUST),2009-07-20,Department of Infrastructure Transport Regional Development and Local Government
181188,10000.0,Hays Specialist Recruitment (AUST),2009-07-20,Department of Infrastructure Transport Regional Development and Local Government
181190,80000.0,Morris Walker Pty Ltd,2009-07-20,Department of Infrastructure Transport Regional Development and Local Government
181192,20000.0,Hays Specialist Recruitment (AUST),2009-07-20,Department of Infrastructure Transport Regional Development and Local Government
181194,20000.0,Hays Specialist Recruitment (AUST),2009-07-20,Department of Infrastructure Transport Regional Development and Local Government
181196,140000.0,COMPAS PTY LTD,2009-07-20,Department of Infrastructure Transport Regional Development and Local Government
181198,25000.0,CAREERS UNLIMITED PTY LTD,2009-07-20,Department of Infrastructure Transport Regional Development and Local Government
181201,150000.0,THE TRUSTEE FOR EVANS FAMILY TRUST,2009-07-20,Department of Infrastructure Transport Regional Development and Local Government
181203,82550.13,Comcover Member Services,2009-07-20,Department of Infrastructure Transport Regional Development and Local Government
181205,20000.0,"DEPARTMENT OF INFRASTRUCTURE,",2009-07-20,Department of Infrastructure Transport Regional Development and Local Government
181207,50000.0,BLUE STAR PRINT GROUP AUSTRALIA PTY,2009-07-20,Department of Infrastructure Transport Regional Development and Local Government
184654,40000.0,AUSTRALIAN PUBLIC SERVICE COMMISSIO,2009-07-27,Department of Infrastructure Transport Regional Development and Local Government
184656,20000.0,Hays Specialist Recruitment (AUST),2009-07-27,Department of Infrastructure Transport Regional Development and Local Government
184658,12000.0,Hays Specialist Recruitment (AUST),2009-07-27,Department of Infrastructure Transport Regional Development and Local Government
184659,10000.0,Hays Specialist Recruitment (AUST),2009-07-27,Department of Infrastructure Transport Regional Development and Local Government
184661,73216.0,Hays Specialist Recruitment (AUST),2009-07-27,Department of Infrastructure Transport Regional Development and Local Government
184663,10000.0,Hays Specialist Recruitment (AUST),2009-07-27,Department of Infrastructure Transport Regional Development and Local Government
184665,35000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2009-07-27,Department of Infrastructure Transport Regional Development and Local Government
184667,16500.0,AUST GOVT SOLICITOR-CENTRAL OFF,2009-07-27,Department of Infrastructure Transport Regional Development and Local Government
184669,174660.0,AUST GOVT SOLICITOR-CENTRAL OFF,2009-07-27,Department of Infrastructure Transport Regional Development and Local Government
184671,22000.0,DLA PHILLIPS FOX,2009-07-27,Department of Infrastructure Transport Regional Development and Local Government
184672,20000.0,Hudson Global Resources (Aust) P/L,2009-07-27,Department of Infrastructure Transport Regional Development and Local Government
184673,26487.6,LeasePlan Australia Ltd,2009-07-27,Department of Infrastructure Transport Regional Development and Local Government
184674,90000.0,MINTER ELLISON,2009-07-27,Department of Infrastructure Transport Regional Development and Local Government
184675,245000.0,COMSUPER,2009-07-27,Department of Infrastructure Transport Regional Development and Local Government
184676,60000.0,FUJI XEROX AUSTRALIA PTY LTD,2009-07-27,Department of Infrastructure Transport Regional Development and Local Government
184677,10213.78,MDF AUSTRALIA PTY. LTD.,2009-07-27,Department of Infrastructure Transport Regional Development and Local Government
184678,195820.08,Comcover Member Services,2009-07-27,Department of Infrastructure Transport Regional Development and Local Government
184679,250000.0,TELSTRA CORPORATION LIMITED,2009-07-27,Department of Infrastructure Transport Regional Development and Local Government
192125,60000.0,Hays Specialist Recruitment (AUST),2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192127,90000.0,Hays Specialist Recruitment (AUST),2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192129,45000.0,Hays Specialist Recruitment (AUST),2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192132,58000.0,DLA PHILLIPS FOX,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192134,17530.0,AUST GOVT SOLICITOR-CENTRAL OFF,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192136,45000.0,Hays Specialist Recruitment (AUST),2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192138,40000.0,Hays Specialist Recruitment (AUST),2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192140,30000.0,LeasePlan Australia Ltd,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192142,40000.0,Hays Specialist Recruitment (AUST),2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192144,90000.0,Hays Specialist Recruitment (AUST),2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192146,10000.0,STRATAGEM COMPUTER CONTRACTORS,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192148,54515.0,MINTER ELLISON,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192150,25000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192153,34848.0,ICON RECRUITMENT PTY LIMITED,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192155,35000.0,Hays Specialist Recruitment (AUST),2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192157,10340.0,Clayton Utz Canberra,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192159,26000.0,M ANDREW & G WILSON,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192161,68000.0,LOGIC TECHNOLOGY BV,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192163,230000.0,DENEEFE SIGNS PTY LTD,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192165,10851.28,NOETIC SOLUTIONS PTY LTD,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192167,79990.0,Howat Bradshaw & Associates Pty Ltd,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192169,535178.0,COMCARE,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192171,70000.0,COMPAS PTY LTD,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192174,45000.0,CAREERS UNLIMITED PTY LTD,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192176,12000.0,ERYL MORGAN PUBLICATIONS PTY LTD,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192178,11391.0,FLIGHT EXPLORER,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192180,10100.0,BM VICTORIA PTY LTD,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192182,10000.0,DEPT OF FINANCE AND DEREGULATION,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192184,13211.02,REED INTERNATIONAL BOOKS AUSTRALIA,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192186,11550.0,EXECUTIVE CENTRAL GROUP PTY LTD,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192187,20000.0,MINTER ELLISON,2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192189,20000.0,Hays Specialist Recruitment (AUST),2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
192191,96000.0,Hays Specialist Recruitment (AUST),2009-08-06,Department of Infrastructure Transport Regional Development and Local Government
193339,116600.0,GEOSCIENCE AUSTRALIA,2009-08-10,Department of Infrastructure Transport Regional Development and Local Government
193342,30000.0,CORPORATE EXPRESS AUSTRALIA LTD,2009-08-10,Department of Infrastructure Transport Regional Development and Local Government
193346,10000.0,Ross Human Directions Ltd,2009-08-10,Department of Infrastructure Transport Regional Development and Local Government
193348,42000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2009-08-10,Department of Infrastructure Transport Regional Development and Local Government
197938,65000.0,Hays Specialist Recruitment (AUST),2009-08-17,Department of Infrastructure Transport Regional Development and Local Government
197940,40000.0,Hays Specialist Recruitment (AUST),2009-08-17,Department of Infrastructure Transport Regional Development and Local Government
197942,48975.0,AAMHATCH PTY LTD,2009-08-17,Department of Infrastructure Transport Regional Development and Local Government
197944,16000.0,UNION OFFSET CO. PTY LTD,2009-08-17,Department of Infrastructure Transport Regional Development and Local Government
197946,23364.0,AUREC PTY LTD,2009-08-17,Department of Infrastructure Transport Regional Development and Local Government
197948,26400.0,M ANDREW & G WILSON,2009-08-17,Department of Infrastructure Transport Regional Development and Local Government
197950,23760.0,M ANDREW & G WILSON,2009-08-17,Department of Infrastructure Transport Regional Development and Local Government
197952,38890.5,Zallcom Pty Ltd,2009-08-17,Department of Infrastructure Transport Regional Development and Local Government
197953,17000.0,Hudson Global Resources (Aust) P/L,2009-08-17,Department of Infrastructure Transport Regional Development and Local Government
197955,356400.0,AIRSERVICES AUSTRALIA,2009-08-17,Department of Infrastructure Transport Regional Development and Local Government
197958,62640.0,NORTHERN TERRITORY OF AUSTRALIA,2009-08-17,Department of Infrastructure Transport Regional Development and Local Government
197960,120000.0,QUEENSLAND UNI OF TECHNOLOGY,2009-08-17,Department of Infrastructure Transport Regional Development and Local Government
197962,49000.0,Australian Associated Press Pty Ltd,2009-08-17,Department of Infrastructure Transport Regional Development and Local Government
197964,23545.0,PACIFIC AVIATION SAFETY OFFICE,2009-08-17,Department of Infrastructure Transport Regional Development and Local Government
201472,49000.0,Hays Specialist Recruitment (AUST),2009-08-24,Department of Infrastructure Transport Regional Development and Local Government
201474,56388.55,LeasePlan Australia Ltd,2009-08-24,Department of Infrastructure Transport Regional Development and Local Government
201476,150000.0,Hays Specialist Recruitment (AUST),2009-08-24,Department of Infrastructure Transport Regional Development and Local Government
201477,31000.0,Hays Specialist Recruitment (AUST),2009-08-24,Department of Infrastructure Transport Regional Development and Local Government
201479,49000.0,Hays Specialist Recruitment (AUST),2009-08-24,Department of Infrastructure Transport Regional Development and Local Government
201481,88033.0,Hays Specialist Recruitment (AUST),2009-08-24,Department of Infrastructure Transport Regional Development and Local Government
201483,661760.0,GHD PTY LTD,2009-08-24,Department of Infrastructure Transport Regional Development and Local Government
201486,20000.0,Hays Specialist Recruitment (AUST),2009-08-24,Department of Infrastructure Transport Regional Development and Local Government
201488,77000.0,Price Waterhouse Coopers,2009-08-24,Department of Infrastructure Transport Regional Development and Local Government
201490,300000.0,MINTER ELLISON,2009-08-24,Department of Infrastructure Transport Regional Development and Local Government
201492,11818.83,AUSTRALIAN ARCHIVES,2009-08-24,Department of Infrastructure Transport Regional Development and Local Government
201494,50000.0,CAREERS UNLIMITED PTY LTD,2009-08-24,Department of Infrastructure Transport Regional Development and Local Government
201496,12094.5,FERRIBY GROUP OF COMPANIES PTY LTD,2009-08-24,Department of Infrastructure Transport Regional Development and Local Government
201498,19000.0,Centre for Asia Pacific Aviation,2009-08-24,Department of Infrastructure Transport Regional Development and Local Government
201500,319008.0,Zeckendorf Asset Management,2009-08-24,Department of Infrastructure Transport Regional Development and Local Government
201502,78000.0,TELSTRA CORPORATION LIMITED,2009-08-24,Department of Infrastructure Transport Regional Development and Local Government
201503,104695.0,Dept of Foreign Affairs & Trade,2009-08-24,Department of Infrastructure Transport Regional Development and Local Government
201505,55000.0,NOETIC SOLUTIONS PTY LTD,2009-08-24,Department of Infrastructure Transport Regional Development and Local Government
201506,150000.0,EVANS & PECK PTY LTD,2009-08-24,Department of Infrastructure Transport Regional Development and Local Government
201508,13200.0,Monash University,2009-08-24,Department of Infrastructure Transport Regional Development and Local Government
204980,12500.0,GHD PTY LTD,2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
204982,14300.0,DLA PHILLIPS FOX,2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
204984,60000.0,AUSTRALIAN PUBLIC SERVICE COMMISSIO,2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
204986,20920.9,G O'SULLIVAN & A.R TURNBULL,2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
204988,55000.0,Hays Specialist Recruitment (AUST),2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
204990,55000.0,GMT Canberra Pty Ltd,2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
204992,75000.0,COMPAS PTY LTD,2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
204994,35000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
204996,49999.99,M ANDREW & G WILSON,2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
204998,38000.0,THE TRUSTEE FOR ASPIRE LEARNING &,2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
205000,370860.0,AUST GOVT SOLICITOR-CENTRAL OFF,2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
205002,16568.24,ALLSTAFF AUSTRALIA PTY LTD,2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
205004,20000.0,Rockhampton Regional Council,2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
205006,12000.0,CAREERS UNLIMITED PTY LTD,2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
205008,40000.0,CAREERS UNLIMITED PTY LTD,2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
205010,25000.0,"McGrath, Paul Matthew",2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
205012,20000.0,Ramon C  Barker & Johanna P Barker,2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
205014,12504.0,DEPARTMENT OF IMMIGRATION &,2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
205016,118800.0,ECTeleconferencing,2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
205018,19582.2,CAREERS UNLIMITED PTY LTD,2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
205021,27000.0,NOETIC SOLUTIONS PTY LTD,2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
205023,45000.0,Collective Resources IT Recruitment,2009-08-31,Department of Infrastructure Transport Regional Development and Local Government
207375,11984.5,FAIRFAX MEDIA PUBLICATIONS PTY LIMITED,2009-09-03,Department of Infrastructure Transport Regional Development and Local Government
209829,26559.46,LeasePlan Australia Ltd,2009-09-07,Department of Infrastructure Transport Regional Development and Local Government
209830,15840.0,AECOM AUSTRALIA PTY LTD,2009-09-07,Department of Infrastructure Transport Regional Development and Local Government
209832,28072.0,ESRI AUSTRALIA PTY LTD,2009-09-07,Department of Infrastructure Transport Regional Development and Local Government
209834,19773.6,AUREC PTY LTD,2009-09-07,Department of Infrastructure Transport Regional Development and Local Government
209836,66528.0,M ANDREW & G WILSON,2009-09-07,Department of Infrastructure Transport Regional Development and Local Government
209838,93000.0,ERNST & YOUNG,2009-09-07,Department of Infrastructure Transport Regional Development and Local Government
209841,62832.0,AECOM AUSTRALIA PTY LTD,2009-09-07,Department of Infrastructure Transport Regional Development and Local Government
209843,97981.0,THE TRUSTEE FOR CHARTER MASON SERVI,2009-09-07,Department of Infrastructure Transport Regional Development and Local Government
209844,75000.0,FRONTRANGE SOLUTIONS ASIA PACIFIC,2009-09-07,Department of Infrastructure Transport Regional Development and Local Government
209846,35666.4,CAREERS UNLIMITED PTY LTD,2009-09-07,Department of Infrastructure Transport Regional Development and Local Government
209847,32888.63,CAREERS UNLIMITED PTY LTD,2009-09-07,Department of Infrastructure Transport Regional Development and Local Government
209849,16500.0,Institute of Public Administration,2009-09-07,Department of Infrastructure Transport Regional Development and Local Government
209850,36620.51,CAREERS UNLIMITED PTY LTD,2009-09-07,Department of Infrastructure Transport Regional Development and Local Government
209852,26964.08,KOWALSKI RECRUITMENT PTY LTD,2009-09-07,Department of Infrastructure Transport Regional Development and Local Government
209854,328000.0,Centrelink,2009-09-07,Department of Infrastructure Transport Regional Development and Local Government
213448,441540.0,M Andrew and G Wilson,2009-09-11,Department of Infrastructure Transport Regional Development and Local Government
213452,1135500.0,GHD Pty Ltd,2009-09-11,Department of Infrastructure Transport Regional Development and Local Government
213455,1430550.0,GHD Pty Ltd,2009-09-11,Department of Infrastructure Transport Regional Development and Local Government
213461,130000.0,Intelligent Outcomes Group Pty Ltd,2009-09-11,Department of Infrastructure Transport Regional Development and Local Government
213541,24179.1,Hedloc Pty Ltd,2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213543,29000.0,FUJI XEROX AUSTRALIA PTY LTD,2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213545,250000.0,M ANDREW & G WILSON,2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213548,20000.0,Hudson Global Resources (Aust) P/L,2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213550,55000.0,Hays Specialist Recruitment (AUST),2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213552,55000.0,Hays Specialist Recruitment (AUST),2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213554,55000.0,Hays Specialist Recruitment (AUST),2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213556,12000.0,Hays Specialist Recruitment (AUST),2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213558,12000.0,Hudson Global Resources (Aust) P/L,2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213560,29856.75,Hays Specialist Recruitment (AUST),2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213561,390000.0,PALM Consulting Group Pty Ltd,2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213563,15500.0,LeasePlan Australia Ltd,2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213565,25000.0,PROFESSOR EDWARD J BLAKELY,2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213568,26000.0,VERNER & FRANCES J VERASS,2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213570,234288.0,GHD Pty Ltd,2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213572,116235.64,TREEHAVEN PTY LTD T/a,2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213573,619798.28,THE IDS UNIT TRUST,2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213575,3887776.0,PHILIP CHUN & ASSOCIATES UNIT TRUST,2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213577,95865.0,INTERCONTINENTAL HOTELS GROUP,2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213579,114752.0,DEPARTMENT OF PUBLIC WORKS,2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213581,369840.3,T & R UNIT TRUST FUND,2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213583,285927.0,IRWINCONSULT PTY LTD,2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213585,437800.0,PITT & SHERRY HOLDINGS PTY LTD,2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213588,30000.0,NATIONAL INSTITUTE TECHNOLOGY&EVALU,2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
213590,82500.0,DEPT OF FINANCE AND DEREGULATION,2009-09-14,Department of Infrastructure Transport Regional Development and Local Government
218790,18000.0,Hays Specialist Recruitment (AUST),2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218792,300000.0,ALLSTAFF AUSTRALIA PTY LTD,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218794,1000000.0,AMBIT GROUP PTY LTD,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218796,3500000.0,Hays Specialist Recruitment (AUST),2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218798,500000.0,Hudson Global Resources (Aust) P/L,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218800,200000.0,Ross Human Directions Ltd,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218802,1800000.0,LeasePlan Australia Ltd,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218804,315000.0,Price Waterhouse Coopers,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218807,50000.0,Hays Specialist Recruitment (AUST),2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218809,30000.0,Hays Specialist Recruitment (AUST),2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218813,85000.0,AUREC PTY LTD,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218815,500000.0,FUJI XEROX AUSTRALIA PTY LTD,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218817,27830.55,Zallcom Pty Ltd,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218819,21000.0,FUJI XEROX AUSTRALIA PTY LTD,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218821,20000.0,AUSTRALIAN PUBLIC SERVICE COMMISSIO,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218823,20502.25,Right Management Consultants (OC)Pt,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218825,79000.0,CONFERENCE LOGISTICS,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218827,65225.4,DEPARTMENT OF TRANSPORT AND,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218830,11550.0,SAP AUSTRALIA PTY LTD,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218832,60000.0,CAREERS UNLIMITED PTY LTD,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218834,67545.98,HEWLETT PACKARD AUST LTD,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218836,80000.0,AMBIT GROUP PTY LTD,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218838,23000.0,Hudson Global Resources (Aust) P/L,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218840,30000.0,FINITE RECRUITMENT PTY. LTD.,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218842,39000.0,STRATAGEM COMPUTER CONTRACTORS,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218844,30000.0,P.M ANDERSON & J.P CRONIN & S.C DAV,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218846,50000.0,PRICEWATERHOUSECOOPERS,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218848,48090.24,Hays Specialist Recruitment (AUST),2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218851,60000.0,PALM Consulting Group Pty Ltd,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
218853,19899.0,PRICEWATERHOUSECOOPERS,2009-09-23,Department of Infrastructure Transport Regional Development and Local Government
219938,30000.0,Right Management Consultants Pty Ltd,2009-09-28,Department of Infrastructure Transport Regional Development and Local Government
219940,619798.28,I.D.S. CONSULTANTS PTY LTD,2009-09-28,Department of Infrastructure Transport Regional Development and Local Government
219942,39360.0,INFORMA UK LTD,2009-09-28,Department of Infrastructure Transport Regional Development and Local Government
219944,33968.0,Hays Specialist Recruitment (AUST),2009-09-28,Department of Infrastructure Transport Regional Development and Local Government
219946,55000.0,Hays Specialist Recruitment (AUST),2009-09-28,Department of Infrastructure Transport Regional Development and Local Government
219948,13000.0,AUSTRALIAN PUBLIC SERVICE COMMISSIO,2009-09-28,Department of Infrastructure Transport Regional Development and Local Government
223884,32500.0,JEBEL CONSULTANT GROUP PTY LTD,2009-10-06,Department of Infrastructure Transport Regional Development and Local Government
223887,39547.2,AUREC PTY LTD,2009-10-06,Department of Infrastructure Transport Regional Development and Local Government
223889,33264.0,ICON RECRUITMENT PTY LIMITED,2009-10-06,Department of Infrastructure Transport Regional Development and Local Government
223891,94024.5,FUJI XEROX AUSTRALIA PTY LTD,2009-10-06,Department of Infrastructure Transport Regional Development and Local Government
223893,60632.0,Hays Specialist Recruitment (AUST),2009-10-06,Department of Infrastructure Transport Regional Development and Local Government
223895,19712.0,Hays Specialist Recruitment (AUST),2009-10-06,Department of Infrastructure Transport Regional Development and Local Government
223898,27500.0,Hays Specialist Recruitment (AUST),2009-10-06,Department of Infrastructure Transport Regional Development and Local Government
223900,32670.0,R W ADAMS & V BRIGGS & S L BUSSEY,2009-10-06,Department of Infrastructure Transport Regional Development and Local Government
223902,55600.0,MINTER ELLISON,2009-10-06,Department of Infrastructure Transport Regional Development and Local Government
223905,17600.0,Clayton Utz Canberra,2009-10-06,Department of Infrastructure Transport Regional Development and Local Government
223907,35310.0,PROTECTIVE FABRICATIONS,2009-10-06,Department of Infrastructure Transport Regional Development and Local Government
223909,10311.7,Jo-Anne Coluccio,2009-10-06,Department of Infrastructure Transport Regional Development and Local Government
223911,300801.6,VERIZON AUSTRALIA PTY LIMITED,2009-10-06,Department of Infrastructure Transport Regional Development and Local Government
223913,80355.0,AURION CORPORATION PTY LTD,2009-10-06,Department of Infrastructure Transport Regional Development and Local Government
223915,30000.0,KELLY SERVICES (AUSTRALIA) PTY LTD,2009-10-06,Department of Infrastructure Transport Regional Development and Local Government
223917,11836.2,THE NOUS GROUP,2009-10-06,Department of Infrastructure Transport Regional Development and Local Government
223919,3887776.0,PHILIP CHUN AND ASSOCIATES PTY LTD,2009-10-06,Department of Infrastructure Transport Regional Development and Local Government
223921,45000.0,Inprotrans Pty Ltd,2009-10-06,Department of Infrastructure Transport Regional Development and Local Government
226778,14000.0,CAREERS UNLIMITED PTY LTD,2009-10-12,Department of Infrastructure Transport Regional Development and Local Government
226780,26300.0,CAREERS UNLIMITED PTY LTD,2009-10-12,Department of Infrastructure Transport Regional Development and Local Government
226781,15000.0,Hays Specialist Recruitment (AUST),2009-10-12,Department of Infrastructure Transport Regional Development and Local Government
226782,12000.0,Hudson Global Resources (Aust) P/L,2009-10-12,Department of Infrastructure Transport Regional Development and Local Government
226784,13260.0,Bayley Family Trust,2009-10-12,Department of Infrastructure Transport Regional Development and Local Government
226785,11500.0,Bayley Family Trust,2009-10-12,Department of Infrastructure Transport Regional Development and Local Government
226787,162508.5,AECOM AUSTRALIA PTY LTD,2009-10-12,Department of Infrastructure Transport Regional Development and Local Government
226790,98200.0,Price Waterhouse Coopers,2009-10-12,Department of Infrastructure Transport Regional Development and Local Government
226791,121000.0,M ANDREW & G WILSON,2009-10-12,Department of Infrastructure Transport Regional Development and Local Government
229080,50000.0,EVANS & PECK PTY LTD,2009-10-19,Department of Infrastructure Transport Regional Development and Local Government
229082,30000.0,Tracey Brunstorm & Hammond Pty Ltd,2009-10-19,Department of Infrastructure Transport Regional Development and Local Government
